name,price,discount
"artnaturals Aloe Vera Gel Set - JUMBO 20oz (99% Pure Organic) - Sunburn Relief & Hydration for Face, Body, Scalp & Hair - Calming Moisturizer After Sun Exposure - Freshly Harvested within 12 Hours",14.,$0.75$0.75
J&J MINI FIRST AID KIT,2.,$2.50$2.50
USB C Charger for iPhone Charger Fast Charging 2Pack 20W PD Type C Wall Fast Charger Adapter with 6FT USB C to Lightning Cable for iPhone 14Pro Max/13 Pro Max/12 Pro/11 Pro/XR/XS Max/X/8/SE,12.,N/A
"Astercook Knife Set, 12 Pcs Colorful Geometric Pattern Kitchen Knives Set, 6 Stainless Steel Chef Knife Sets with 6 Blade Guards, Dishwasher Safe, Black",29.,$46.99$46.99
"Scotch-Brite Lint Roller Value Pack, Works Great On Pet Hair, 5 Rollers, 95 Sheets Per Roller, 475 Sheets Total",19.,$0.04$0.04
"Love Ur Curls LUS Brands Deep Condition & Repair for Curls - 8oz Ultra-Rich Formula with 8 Key Ingredients for Moisture, Definition and Shine - No Heat Required",27.,$3.38$3.38
"Avalon Organics Therapy Biotin B-Complex Thickening Shampoo, For an Energized Scalp and Thicker, Fuller-Looking Hair, 32 Fluid Ounces",17.,$0.55$0.55
"Resveratrol NAD+ Berberine Hyaluronic Acid - Biotin Grape & Blueberry + NAC - Collagen Peptides - Hair, Nail, Skin & Joint Supplement - 21-in-1 Women and Men - Made in USA (60 Count (Pack of 1)",23.,$29.95$29.95
"Tea Tree Shampoo For Men and Women, Deep Cleansing Sulfate-Free Formula - Relief for Dry Itchy Scalp - Infused with Tea Tree oil, Mint, Biotin and Vitamin E, 16.2oz",16.,$0.99$0.99
"Maybelline Fit Me Matte + Poreless Liquid Oil-Free Foundation Makeup, Toffee, 1 Count (Packaging May Vary)",8.,$10.99$10.99
"ArtNaturals Magnesium Oil Spray 12 oz + Body Lotion Set 8oz - Extra Strength Ultra-Pure Soothing Relief & Relaxation for Better Sleep, Muscle Health Leg & Joint Care W/a Less Itch, Non-Greasy Formula",18.,$0.95$0.95
"Elixir by Coco March Hair Growth Shampoo - Plant-Based Thinning Hair Formula for Thicker, Fuller Hair - Chemical-Free for Men and Women - 16.9 fl oz",N/A,N/A
"DISCOUNTED: Face finishing & Firming Moisturizer - High Potency Classics - DMAE, Vitamin E, Kukui Nut Seed Oil 2 oz",49.,$25.00$25.00
"iRestore Essential Laser Hair Growth System - FDA Cleared Hair Loss Treatments for Men & Women & Hair Growth Products for Men with Thinning Hair, Hair Regrowth Treatments Laser Cap, Red Light Therapy",499.,$499.00$499.00
"Harry's Men's Cleansing Bar Soap, Fig Scent, 4 oz, 4 Pack, White",18.,$4.52$4.52
Hanes Men’s Short Sleeve Graphic T-shirt Collection,10.,$16.00$16.00
"Magnesium Glycinate 400 MG per Serving 100% Chelated for High Absorption, Gentle On Stomach, Non-GMO, 90 Vegetarian Capsules",9.,$0.11$0.11
"Lint Rollers for Pet Hair Extra Sticky, Pet Hair Remover Set Brush for Dog & Cat Hair Removal, Clothes, Furniture, 2 Handles with 4 Refills, 240 Total Sheets",9.,$12.99$12.99
JaGely 100 Pairs Thin Low Cut Ankle Socks Bulk for Women Men Cotton Socks Breathable No Show Socks Athletic Socks Homeless,37.,N/A
"40W USB C Charger Block, 2-Pack USB C Wall Charger Fast Charging Block Plug,4-Port PD+QC Multiport Power Adapter Type C Charging Brick Cube for iPhone 15 14 13 12 11 Pro Max XS XR X, Samsung",19.,$10.00$10.00
ExOfficio Women’s Give-N-Go Full Cut Brief,16.,$24.00$24.00
"Better Office Products Two Pocket Portfolio Folders, 50-Pack, Blue, Letter Size Paper Folders, 50 Pieces, Blue",N/A,N/A
"2 Rolls of Engineering Gray (Light Grey,Cool Grey 6C,Warship Gray) PLA 3D Printer 1.75mm Filament - FilaCube PLA 2 Filament, Print Temperature 220℃ or Higher, Discounted Price[Made in USA]",46.,N/A
510 Pcs Self Adhesive Sale Price Labels (w/Blank Space for Discounted Amount) - Pricing for Merchandise & Product Tags - Round at 1 inch Diameter (25mm) (Sale),8.,$0.02$0.02
"USB C Charger Block, 2-Pack 40W USB Wall Charger Thin Flat Cube, 4-Port Type C Charger Fast Charging Phone Charger, Dual Port PD Power Adapter+QC USB Wall Plug for iPhone 15 14 13 12 11 Samsung",19.,$10.00$10.00
"Lint Roller, 500 Sheets Lint Rollers For Pet Hair Extra Sticky, TaidMiao Mega Value Set Lint Rollers With 5 Upgraded Handles, Lint Roller For Clothes/Furniture/Couch/Carpet, Heavy Duty Pet Hair Roller",9.,N/A
"USB Charger, Flymic 6 Port USB Charger Station for Multiple Devices USB Power Strip USB C Charger Block Charging Hub with ON/Off Switch for iPhone 14/13 Pro Max,iPad Pro,Switch,Galaxy S21(Black)",10.,N/A
USB Charger 12 Port USB Charging Station Charging Hub with Fast Charging USB Wall Charger for Multiple Devices USB Charging Port Compatible with Cell Phones Tablets Laptops,21.,N/A
"128W USB C Charger,GaN III Foldable Compact Wall Charger,3 Port Charging Station PD QC PPS Fast Charger Laptop Adapter for MacBook Pro/Air,iPad,iPhone 15/Pro,Galaxy S23 Ultra,Steam Deck,Dell XPS",27.,$36.95$36.95
"iPhone 15 Pro Max Charger 30W USB C iPhone 15 Charger Block Fast Charging with 10FT Long Type C Cord Cable for iPhone 15/15 Pro/15 Pro Max/15 Plus, iPad Pro/Mini/Air, Samsung Galaxy S24/S23/S22 Ultra",9.,N/A
LUS (Love Ur Self) Fragrance-Free 3-Step System Shampoo and Conditioner Set with All-in-One Styler for Wavy Hair Nongreasy & Moisturizing - 8.5oz each,58.,$2.27$2.27
